
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3C:90:66:54:81:3D, 2018-09-04 21:49:12, 2018-09-04 21:49:12,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -93,        1,        0,   0.  0.  0.  0,  10, Sonic-813a, 
9C:3D:CF:93:F9:3F, 2018-09-04 21:49:15, 2018-09-04 21:49:15,  1,  54, WPA2, CCMP,PSK, -91,        1,        0,   0.  0.  0.  0,  17, PizzaIsLife_2GEXT, 
FA:8F:CA:91:D9:EA, 2018-09-04 21:49:12, 2018-09-04 21:49:19,  1,  54, OPN, ,   , -90,        5,        0,   0.  0.  0.  0,   0, , 
94:10:3E:01:CA:5B, 2018-09-04 21:49:15, 2018-09-04 21:49:18,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        3,        1,   0.  0.  0.  0,  17, Teeny Tiny Cactus, 
E8:33:81:83:D5:30, 2018-09-04 21:49:14, 2018-09-04 21:49:20,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -89,        2,        0,   0.  0.  0.  0,  10, microscope, 
88:3D:24:B9:92:14, 2018-09-04 21:49:15, 2018-09-04 21:49:15, 11,  54, WPA2, CCMP,PSK, -89,        1,        0,   0.  0.  0.  0,   4, \xF0..\xBC, 
FA:8F:CA:80:06:1D, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  1,  54, OPN, ,   , -87,       11,        0,   0.  0.  0.  0,  14, Chromecast5891, 
14:22:DB:44:E4:E8, 2018-09-04 21:49:12, 2018-09-04 21:49:12,  1,  54, OPN, ,   , -87,        1,        0,   0.  0.  0.  0,   0, , 
BA:39:56:8F:65:F2, 2018-09-04 21:49:16, 2018-09-04 21:49:21,  8,  54, WPA2, CCMP,PSK, -88,        2,        0,   0.  0.  0.  0,   0, , 
94:E8:C5:FE:2B:80, 2018-09-04 21:49:15, 2018-09-04 21:49:20, 11,  48, OPN, ,   , -83,        5,        0,   0.  0.  0.  0,   0, , 
2C:30:33:CC:CD:01, 2018-09-04 21:49:13, 2018-09-04 21:49:21,  9,  54, WPA2, CCMP,PSK, -85,       10,        3,   0.  0.  0.  0,   9, NETGEAR02, 
B8:16:19:80:DC:00, 2018-09-04 21:49:15, 2018-09-04 21:49:15, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -85,        1,        0,   0.  0.  0.  0,   6, ATT624, 
14:22:DB:44:E6:86, 2018-09-04 21:49:15, 2018-09-04 21:49:15,  1,  54, WPA2, CCMP,PSK, -85,        1,        0,   0.  0.  0.  0,   6, Stella, 
20:25:64:AD:70:80, 2018-09-04 21:49:16, 2018-09-04 21:49:16,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -85,        0,        0,   0.  0.  0.  0,  13, BUBBLE_UP-2.4, 
72:3A:CB:B1:B0:08, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  1,  54, WPA2, CCMP,PSK, -83,       17,        0,   0.  0.  0.  0,  12, \xF0...\xF0..\xAB\xF0..., 
B0:7F:B9:A1:F6:48, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  4,  54, WPA2, CCMP,PSK, -81,       14,        2,   0.  0.  0.  0,   9, NETGEAR28, 
70:3A:CB:B1:B0:09, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  1,  54, WPA2, CCMP,PSK, -83,       15,        0,   0.  0.  0.  0,   4, \xF0..\xBC, 
FA:8F:CA:84:F0:1B, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  6,  54, OPN, ,   , -79,       15,        0,   0.  0.  0.  0,   0, , 
2C:30:33:59:7E:14, 2018-09-04 21:49:12, 2018-09-04 21:49:20,  6,  54, WPA2, CCMP,PSK, -80,       29,        0,   0.  0.  0.  0,   9, NETGEAR36, 
A0:04:60:E5:D7:D5, 2018-09-04 21:49:12, 2018-09-04 21:49:21,  9,  54, WPA2, CCMP,PSK, -73,       16,        3,   0.  0.  0.  0,  21, Bodduluri Family Wifi, 
7E:B0:66:DA:E0:AD, 2018-09-04 21:49:15, 2018-09-04 21:49:15,  6,  54, WPA2, CCMP TKIP,PSK, -75,        2,        0,   0.  0.  0.  0,   0, , 
